Serial Number,Comment,Author
1,Please update about Danapur - patliputra section of Red line in next update.,@princemyself1212
2,Nice video,@ashutoshas5819
3,Bihta airport ka bhi progress report dikhana hai bhai,@atikwarsi4819
4,Bhai patna bachao tree lagao video me per ki bahoot kami hai,@CTOJ1
5,10 sal se metro banna raha hai Gujarat ke andar 2 sal ke andar metro start ho gai hai,@mrmudassiralam3935
6,❤❤❤❤❤❤❤🎉🎉🎉🎉,@Rahulvolsg2655
7,need part 2,@thorin999
8,Hm Ashok rajpath se gujarte the lekin hm nhi dekh pate the matro k kam apne kuch minut me dikha diya thanks sir,@alifa7423
9,Jai bihari ❤,@Sonalikadaknathchickenlover
10,Excellent presentation on Patna Metro,@pijushkumarroy4912
11,kitna time lg skta h sb kuch complete hone me????,@Ejaz_Ali
12,Delhi metro best performance,@Nirale-w6e
13,"<a href=""https://www.youtube.com/watch?v=TSZbuIqzi3w&amp;t=508"">8:28</a> ulta bol diya bro",@rajnishkushx
14,Kon kon si companies work kr rhi hai yaha #,@Ajaysh207
15,Which is the starting music??,@KaradenizliMacerasi
16,❤❤❤❤,@nabinthakur3611
17,"Malahi pakri station is perpendicular to the line , and 50 metre north than the pointed point  .",@EdookationHub
18,Abhi aur 20 saal lagaga,@1amitjha
19,Your videography and representation is awesome. ❤,@animaqaar
20,KYA AAP YOUTUBER HO<br>AAPAKA NUMBER MILEGA,@vaishnavifibreworkshop
21,Dhaasu video quality... Mjaaa aa gya,@Sharmascorner
22,its khemnichak not khemkichak,@sweshanksharma4107
23,Aane wale waqt me India  ka sabse khubsurat  city hoga ye kitna mast view hai😊❤ samtal jamin par basaya gaya sahar bagal me ganga ka najara waw this is Amazing 😍❤😘🇮🇳,@Ajam359
24,Bhai video bahut acha hai bs video quality aur bdhiya chahiye tha ❤,@shireeshnikumbh001
25,Pls share the station names,@bikashkumarsingh3035
26,"Work is very slow,even 1st phase is not completed",@RakeshKumar-mv8kr
27,Kb tk taiyar ho jayega,@GurjeetSingh-fu7gt
28,Patna metro ke karan barbad ho gya hai.....kitne shopkeeper ka ghar nahe chal paa raha hai.......government has done blunder ....major blunder.....without planning  for shopkeepers they have made the project.......and after.metro what will happen to rakshaw wala and auto wala......as if apna bihar top ten growinh state.mai haiiiii........,@Beautybrainsvlogs
29,Kab tak pura ban jayega,@adityaaman.20
30,जब से ये पटना मेट्रो बन रहा उससे पीछे काम चालू यूपी के कितने शहर में मेट्रो चालू गया है<br>बिहार में इस स्पीड से ही काम होता है,@ayamsingh4219
31,Thanku bhiaa😊😊,@sujitshaw7106
32,Metro should be underground,@yourstrulytk12worldaffairs
33,Bhai ghaighat ke idhar koi station nhi banaya jayega kya ya AShok rajpath me,@AmanveerkiranSingh
34,thanks sir,@bhevinkrishnamurthy9657
35,There should be more detail in the narration of the story. video Was good,@Mehndiartmala
36,"At <a href=""https://www.youtube.com/watch?v=TSZbuIqzi3w&amp;t=612"">10:12</a> &quot;Rajendra Nagar Junction&quot; ke jagha &quot;Rajendra Nagar Terminal&quot; hoga",@rishavraj0962
37,Saguna more nahi dikhaya,@santoshchoudhary2004
38,Okay,@prakaashguptaaofficial2599
39,Bhai me 2017 me gaya tha pillar tab bhi ban chuka tha ...avi tak nahi bana ...sach me bihar mahan h ...manna padega bihar k neta bahut hi slow h  decision lene me ....aur bolu gujrat bahut fast h isiliye jaldi jaldi sari companiya wahi chali jati kyuki sarkar waha ki support karti taki hnko paisa banta rahe....bhai agar bihar chahiye develop to out of box sochna padega ...aur janta ka sath hona jaruri h ...,@raviprasad7654
40,Jharkhand me bhi  metro ajata yaar<br>Sir is baat ko government tak pahuncha sakte h to please pahuchaye.,@Abhishek_is_live
41,Patna me chor log rahta hai,@rehan4451
42,Khemkichak ni khemnichak h bro,@shubhamsingh2414
43,"Bhai last me Traffic police ka Furti dekho Kisi Govt official Car ko dekh ke <a href=""https://www.youtube.com/watch?v=TSZbuIqzi3w&amp;t=877"">14:37</a>",@himanshunehaleducation
44,Waah Bhai superb Roshan bro,@khushbuthakur4172
45,Good Work bro,@Dark_Horse_Guddu
46,Bhai yaha ka construction dekh kar dar lagta hai kab collapse ho jaye😢,@AmanKumar-zs8yl
47,adhura video tha ye wala,@Mukeshkumar-it8lj
48,Nice video,@travellingparrot5975
49,Expecting that Patna be the 2nd East India developed city in near future.... Love from Kolkata 💌,@gishan.19
50,"<a href=""https://www.youtube.com/watch?v=TSZbuIqzi3w&amp;t=77"">1:17</a> <br>starts from here",@drax588
51,Dekhna bhai chalne se pahle hi na gir jay love from m.p.,@jugarofmaths3637
52,Kahan se kahan tak metro caloga,@chotudas700
53,Kab tak girega,@Amritbhajaan
54,pmrc start ❤️‍🔥,@Aditya_brain_booster
55,Beta,@ManitaYadav-bg9xk
56,Beta sabse barri yojna kya hai,@ManitaYadav-bg9xk
57,खेमनी चक है सर,@VikashKumar-to1mm
58,thanks for update,@comfort-l8m
59,Thanks to NDA and JDU for this good project,@dhananjaykumarsingh238
60,Sasura kab banega <br>Patna metro kahi Delhi metro na ban Jaye,@TurtleGaming.
61,Nice video,@ConstructionErzeshankhan
62,Dekho kahi bridge k jaise gir na jaye,@ashutiwari5312
63,Thnx bhaiya itni jaankari dene ke liye😊,@YouTubehandle962
64,👌👌❤,@rohitmax827
65,Nice work,@Theindianvlogger1
66,is janam mein sayad ban jaayeee,@keshavrishu367
67,Pura cover kyu nhi Kiya,@watchdogs467
68,5 saal lagega PATNA me metro banane me aur roads ki halat toh itni gandi h ke kya hi bolu... <br>Jagha jagha gande naliya full of pollution <br>Bht Ganda jagha Patna <br>Rever recommended to visit patna,@bePrem79
69,"After JagjivanRam and Jaiprakash Narayan, JeetanRam PaltuRam ki kripa se development ho rahaa hai Bihar mein",@rakeshranjan9295
70,"Good video update......After JagjivanRam ,JeetanRam PaltuRam ki kripa se development ho rahaa hai Bihar mein",@rakeshranjan9295
71,Metro Good Fecility&#39;s,@srinusrinivas7880
72,I am rating 5 because your presentation is very good,@AyubKhan-vl6yn
73,Bhaiya kab tak start hoga,@HimanshuKumar-or3ed
74,Khane pine ke alawa apke vlog k through kuch bht acha dekhne ko mila.. thanks ❤,@sachinprabhakar298
75,❤❤,@sachinprabhakar298
